repo,success,time_sec,test_count,log_file
iluwatar/java-design-patterns,False,19.26,0,./temp-project-logs/iluwatar_java-design-patterns.log
macrozheng/mall,True,110.71,0,
TheAlgorithms/Java,False,14.10,0,./temp-project-logs/TheAlgorithms_Java.log
google/guava,False,309.00,0,./temp-project-logs/google_guava.log
dbeaver/dbeaver,False,7.84,0,./temp-project-logs/dbeaver_dbeaver.log
apache/dubbo,False,600.00,0,./temp-project-logs/apache_dubbo_timeout.log
eugenp/tutorials,True,20.05,0,
alibaba/arthas,False,125.75,0,./temp-project-logs/alibaba_arthas.log
netty/netty,False,600.00,0,./temp-project-logs/netty_netty_timeout.log
xkcoding/spring-boot-demo,False,286.00,1,./temp-project-logs/xkcoding_spring-boot-demo.log
alibaba/easyexcel,True,101.08,0,
zxing/zxing,True,184.52,0,
YunaiV/ruoyi-vue-pro,False,600.00,0,./temp-project-logs/YunaiV_ruoyi-vue-pro_timeout.log
alibaba/nacos,False,54.02,0,./temp-project-logs/alibaba_nacos.log
binarywang/WxJava,True,334.22,0,
chinabugotech/hutool,False,600.00,0,./temp-project-logs/chinabugotech_hutool_timeout.log
apolloconfig/apollo,False,600.00,0,./temp-project-logs/apolloconfig_apollo_timeout.log
alibaba/canal,False,165.97,12,./temp-project-logs/alibaba_canal.log
xuxueli/xxl-job,False,12.90,0,./temp-project-logs/xuxueli_xxl-job.log
alibaba/spring-cloud-alibaba,False,18.60,0,./temp-project-logs/alibaba_spring-cloud-alibaba.log
alibaba/druid,False,600.00,0,./temp-project-logs/alibaba_druid_timeout.log
keycloak/keycloak,False,20.74,0,./temp-project-logs/keycloak_keycloak.log
crossoverJie/JCSprout,False,13.52,0,./temp-project-logs/crossoverJie_JCSprout.log
qiurunze123/miaosha,False,56.86,0,./temp-project-logs/qiurunze123_miaosha.log
alibaba/fastjson,True,325.18,0,
apache/incubator-seata,False,600.00,0,./temp-project-logs/apache_incubator-seata_timeout.log
apache/flink,False,30.45,0,./temp-project-logs/apache_flink.log
proxyee-down-org/proxyee-down,False,22.41,0,./temp-project-logs/proxyee-down-org_proxyee-down.log
apache/skywalking,False,14.75,0,./temp-project-logs/apache_skywalking.log
jenkinsci/jenkins,False,22.09,0,./temp-project-logs/jenkinsci_jenkins.log
OpenAPITools/openapi-generator,False,29.69,0,./temp-project-logs/OpenAPITools_openapi-generator.log
redisson/redisson,False,22.54,0,./temp-project-logs/redisson_redisson.log
google/gson,False,0.09,0,./temp-project-logs/google_gson.log
