project,commit,test_num,flaky_num,flaky_ratio
819548945/tool-encryptionAndDecryption-core,0d6503e,408,3,0.74%
alipay/sofa-common-tools,e015195,366,2,0.55%
anitechcs/resting,d375fec,281,1,0.36%
apifortress/apif-faker,002318f,278,181,65.11%
bennidi/lab,3e9f262,258,13,5.04%
daniel/frak-dummy4j,f72e258,368,9,2.45%
DataONEorg/d1-cn-common,9f12467,321,43,13.40%
DiUS/java-faker,a8b8ff0,270,166,61.48%
edgar615/util,7a54b30,317,12,3.79%
edwardcapriolo/gossip,ac87301,283,8,2.83%
fabric8io/zjsonpatch,d62dd71,284,91,32.04%
goldolphin/cate,1a04b81,154,13,8.44%
graphaware/reco,5bc1ea8,284,2,0.70%
huchengming/In-Memory-Counter,7960e9f,272,107,39.34%
j256/simplejmx,d2323a0,279,1,0.36%
j256/simplemetrics,498e29e,241,2,0.83%
jembi/openhim-mediator-engine-java,02adc0d,272,5,1.84%
julman99/gson-fire,5dd4cd7,307,8,2.61%
kestreldigital/data-conjuror,2f1c934,213,212,99.53%
krka/mockachino,9bcdda0,300,72,24.00%
lecogiteur/csvbang,1ad2382,279,1,0.36%
lemire/externalsortinginjava,f8f42f4,330,122,36.97%
masterthought/cucumber-reporting,91d6b7d,280,1,0.36%
maxonrow/mxw-sdk-java,dc83702,342,7,2.05%
myzhan/locust4j,ee7850f,189,18,9.52%
projectodd/sockjs-servlet,bd7a20c,300,40,13.33%
resourcepool/little-bob,24e5402,250,40,16.00%
rolfl/MicroBench,f2bfa92,305,1,0.33%
seasarorg/mayaa,a450bc2,373,1,0.27%
spullara/java-future-jdk8,5925719,283,2,0.71%
StefaniniInspiring/pugtsdb,811a08c,316,6,1.90%
swiftech/swifttime,d7ddd29,290,4,1.38%
testinfected/time,f3167b5,263,60,22.81%
ThaliaBuecherGmbH/thalia-junit-postgres,71c2346,21,1,4.76%
yankeguo/xlog-java,d42cdfd,295,14,4.75%
